file_path,field_name,pii_classification,matched_pattern,review_status
governance/generated/pii_discovery_report.csv,utm_campaign,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
governance/generated/pii_discovery_report.csv,utm_campaign_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
semantic_layer/powerbi_tmdl/relationships.tmdl,campaign_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
semantic_layer/powerbi_tmdl/relationships.tmdl,dim_campaign_campaign_id_to_mart_campaign_action_center_campaign_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
semantic_layer/powerbi_tmdl/relationships.tmdl,dim_campaign_campaign_id_to_mart_ga4_funnel_campaign_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
semantic_layer/powerbi_tmdl/tables/dim_campaign.tmdl,campaign_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
semantic_layer/powerbi_tmdl/tables/mart_campaign_action_center.tmdl,campaign_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
semantic_layer/powerbi_tmdl/tables/mart_campaign_performance.tmdl,campaign_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
semantic_layer/powerbi_tmdl/tables/mart_ga4_funnel.tmdl,campaign_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
warehouse/postgres/init/00_create_schemas.sql,attribution_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
warehouse/postgres/init/00_create_schemas.sql,campaign_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
warehouse/postgres/init/01_indexes_and_comments.sql,attribution_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
warehouse/postgres/init/01_indexes_and_comments.sql,campaign_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
warehouse/postgres/views/security_views.sql,attribution_id,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
warehouse/postgres/views/security_views.sql,attribution_id_hash,attribution_identifier,(attribution_id|utm_|campaign_id),monitor
dbt/models/intermediate/int_attribution_touchpoints.sql,deal_value,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/intermediate/int_attribution_touchpoints.sql,int_campaign_spend_unified,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/intermediate/int_campaign_daily.sql,int_campaign_spend_unified,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/intermediate/int_campaign_daily.sql,spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/intermediate/int_campaign_spend_unified.sql,campaign_spend_row_key,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
